file,role,page,observed,recommended,lucide,color,size,comment,source
icon_login_brand_ambulance.png,Logo marque panneau gauche,Login,Ambulance stylisée blanche/cyan avec croix et flèche rouge,Logo ambulance,Ambulance ou asset logo dédié,Blanc + cyan + rouge,~90x80 px,"À conserver comme asset marque, pas comme icône générique.",Login_V1.1.png
icon_login_feature_calendar.png,Bénéfice planning intelligent,Login,Calendrier linéaire cyan,Planning intelligent,CalendarDays,Cyan,~28 px,Crop sur fond photo sombre.,Login_V1.1.png
icon_login_feature_vehicle.png,Bénéfice flotte optimisée,Login,Ambulance/véhicule linéaire cyan,Flotte optimisée,Ambulance,Cyan,~28 px,Crop sur fond photo sombre.,Login_V1.1.png
icon_login_feature_users.png,Bénéfice équipes connectées,Login,Groupe utilisateurs linéaire cyan,Équipes connectées,UsersRound,Cyan,~30 px,Crop sur fond photo sombre.,Login_V1.1.png
icon_login_feature_shield.png,Bénéfice conformité & sécurité,Login,Bouclier/check linéaire cyan,Conformité sécurité,ShieldCheck,Cyan,~31 px,Crop sur fond photo sombre.,Login_V1.1.png
icon_login_trust_lock.png,Carte réassurance accès réservé,Login,Cadenas médical dans pastille cyan,Accès réservé,LockKeyhole,Cyan sur pastille,~42 px,Icone avec pastille dans carte translucide.,Login_V1.1.png
icon_login_card_ambulance.png,Logo au-dessus de la carte connexion,Login,Ambulance cyan dans cercle blanc,Login ambulance,Ambulance,Cyan + rouge,~80 px,Asset marque secondaire.,Login_V1.1.png
icon_login_input_email.png,Champ adresse email,Login,Enveloppe linéaire grise,Email,Mail,Gris bleuté,~18 px,,Login_V1.1.png
icon_login_input_lock.png,Champ mot de passe,Login,Cadenas linéaire gris,Mot de passe,Lock,Gris bleuté,~18 px,,Login_V1.1.png
icon_login_input_eye.png,Afficher/masquer mot de passe,Login,Œil linéaire gris,Afficher mot de passe,Eye,Gris bleuté,~18 px,,Login_V1.1.png
icon_login_checkbox_checked.png,Checkbox souvenir,Login,Case cochée bleue,Checkbox cochée,CheckSquare,Bleu primaire,~18 px,,Login_V1.1.png
icon_login_button_lock.png,Bouton connexion,Login,Cadenas blanc,Connexion sécurisée,Lock,Blanc,~18 px,,Login_V1.1.png
icon_login_alert_warning.png,Alerte identifiants invalides,Login,Triangle alerte rouge,Erreur authentification,TriangleAlert,Rouge,~22 px,,Login_V1.1.png
icon_login_footer_france_flag.png,Badge hébergement France,Login,Drapeau France mini,Hébergement France,Flag,Bleu blanc rouge,~18 px,Crop fidèle mais très petit.,Login_V1.1.png
icon_login_footer_shield.png,Badge conformité RGPD,Login,Bouclier check bleu,Conforme RGPD,ShieldCheck,Bleu,~18 px,,Login_V1.1.png
icon_sidebar_logo_ambulance.png,Logo application dans sidebar,Shell commun / Dashboard,Ambulance cyan avec croix,Logo sidebar,Ambulance ou asset logo dédié,Cyan + rouge,~56 px,À conserver comme asset.,Dashboard_V1.png
icon_sidebar_dashboard.png,Navigation sidebar Tableau de bord,Shell commun / Dashboard,Icône dashboard/blocs,Tableau de bord,LayoutDashboard,Bleu actif / gris inactif,~22 px,État actif visible sur Dashboard.,Dashboard_V1.png
icon_sidebar_planning.png,Navigation sidebar Planning,Shell commun / Dashboard,Calendrier linéaire,Planning,CalendarDays,Gris bleuté,~22 px,,Dashboard_V1.png
icon_sidebar_users.png,Navigation sidebar Utilisateurs/RH,Shell commun / Dashboard,Groupe utilisateurs,Utilisateurs RH,UsersRound,Gris bleuté,~22 px,,Dashboard_V1.png
icon_sidebar_vehicles.png,Navigation sidebar Véhicules,Shell commun / Dashboard,Ambulance avec croix,Véhicules,Ambulance,Gris bleuté,~24 px,,Dashboard_V1.png
icon_sidebar_templates.png,Navigation sidebar Templates,Shell commun / Dashboard,Document/list,Templates,FileText,Gris bleuté,~22 px,,Dashboard_V1.png
icon_sidebar_company.png,Navigation sidebar Société,Shell commun / Dashboard,Bâtiment société,Société,Building2,Gris bleuté,~24 px,,Dashboard_V1.png
icon_sidebar_depots.png,Navigation sidebar Dépôts,Shell commun / Dashboard,Bâtiment dépôt / colonnes,Dépôts,Landmark,Gris bleuté,~24 px,,Dashboard_V1.png
